date,symbol,side,currency,underlying,asset_type,price,quantity,commission,fees,tags,notes,spread_id
2021-04-12T15:21:43-0400,"AMD Apr 16, 2021 81.00 CALL",buy,USD,AMD,stock_option,0.52,5,2.5,0.07,,,1ivscJVY
2021-03-31T10:34:29-0400,"AMD Apr 16, 2021 81.00 CALL",sell,USD,AMD,stock_option,1.1,5,2.5,0.09,,,1ivscJVY
2020-03-26T09:47:19-0400,SPXS,sell,USD,SPXS,stock,17.95,200,0,0.02,STRATEGY-1,,1ZDssL4S
2020-03-26T10:02:34-0400,SPXS,buy,USD,SPXS,stock,17.48,200,0,0,STRATEGY-1,,1ZDssL4S
2020-03-18T11:59:20-0400,"SPY Apr 17, 2020 285.00 CALL",sell,USD,SPY,stock_option,2.45,2,0,0.3,,,3R7RNwgg
2020-03-18T10:11:11-0400,"SPY Apr 17, 2020 285.00 CALL",buy,USD,SPY,stock_option,2.41,1,1,0.14,,,3R7RNwgg
2020-03-18T11:15:00-0400,"SPY Apr 17, 2020 285.00 CALL",buy,USD,SPY,stock_option,2,2,2,0.28,,,3R7RNwgg
2020-03-18T10:28:50-0400,"SPY Apr 17, 2020 285.00 CALL",buy,USD,SPY,stock_option,2.42,1,1,0.14,,,3R7RNwgg
2020-03-18T12:10:56-0400,"SPY Apr 17, 2020 285.00 CALL",sell,USD,SPY,stock_option,2.4,2,0,0.3,,,3R7RNwgg
2020-03-17T09:47:07-0400,ET,buy,USD,ET,stock,5.59,30,0,0.02,M-FORM,,4gWuMMpM
2020-05-12T10:16:08-0400,ET,sell,USD,ET,stock,7.95,30,0,0.04,M-FORM,,4gWuMMpM
2020-06-02T10:15:34-0400,SNAP,sell,USD,SNAP,stock,19.62,500,2.99,0,"inEFFICIENT-EXIT,MKOPEN-TRD,STRATEGY-1",,4qy4vHSw
2020-06-02T10:00:24-0400,SNAP,buy,USD,SNAP,stock,19.5,500,2.99,0,"inEFFICIENT-EXIT,MKOPEN-TRD,STRATEGY-1",,4qy4vHSw
2021-04-06T14:45:46-0400,"TSLA Apr 16, 2021 625.00 PUT",sell,USD,TSLA,stock_option,6.2,1,0.5,0.02,,,5ljqF8dq
2021-04-13T10:29:18-0400,"TSLA Apr 16, 2021 625.00 PUT",buy,USD,TSLA,stock_option,0.36,1,0.5,0.01,,,5ljqF8dq
2019-04-18T12:09:01-0400,PINS,buy,USD,PINS,stock,24.9,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:00-0400,PINS,buy,USD,PINS,stock,24.92,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:00-0400,PINS,buy,USD,PINS,stock,24.91,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:00-0400,PINS,buy,USD,PINS,stock,24.93,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:01-0400,PINS,buy,USD,PINS,stock,24.82,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:01-0400,PINS,buy,USD,PINS,stock,24.82,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:02-0400,PINS,buy,USD,PINS,stock,24.88,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:00-0400,PINS,buy,USD,PINS,stock,24.93,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:58-0400,PINS,sell,USD,PINS,stock,24.58,1100,6.1906,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:03-0400,PINS,buy,USD,PINS,stock,24.87,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:03-0400,PINS,buy,USD,PINS,stock,24.87,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2019-04-18T12:09:02-0400,PINS,buy,USD,PINS,stock,24.88,100,1,0,"CHOP,M-FORM,NO-RANGE",<p>It was an easy <u>M-/Double-top formation</u>!&nbsp;</p><p>Why did I even trade the top?? I forgot my resistance lines today and made this mess of a trade - easy and clean setup but I failed due to bad preparation.</p>,5RfNkxME
2022-02-24T01:02:51-0500,NZDCHF,sell,CHF,NZDCHF,forex,0.67581816,300,0,0,,,5X6r3kyv
2022-02-23T14:40:00-0500,NZDCHF,buy,CHF,NZDCHF,forex,0.67783501,300,0,0,,,5X6r3kyv
2020-03-18T15:56:03-0400,SPXL,sell,USD,SPXL,stock,22.03,20,0,0.03,BAD-MAE,<p>High risk trade!</p><p>Things I should NOT have done:</p><ul><li>Average down</li><li>Ignore mid-term indicator warnings&nbsp;</li></ul><p>Why? It's a leveraged ETF!</p>,5ZbPsykC
2020-03-18T13:43:42-0400,SPXL,buy,USD,SPXL,stock,20.35,10,0,0.01,BAD-MAE,<p>High risk trade!</p><p>Things I should NOT have done:</p><ul><li>Average down</li><li>Ignore mid-term indicator warnings&nbsp;</li></ul><p>Why? It's a leveraged ETF!</p>,5ZbPsykC
2020-03-18T13:57:57-0400,SPXL,buy,USD,SPXL,stock,19.5,10,0,0.01,BAD-MAE,<p>High risk trade!</p><p>Things I should NOT have done:</p><ul><li>Average down</li><li>Ignore mid-term indicator warnings&nbsp;</li></ul><p>Why? It's a leveraged ETF!</p>,5ZbPsykC
2021-04-22T10:46:24-0400,"TSLA Apr 23, 2021 650.00 PUT",buy,USD,TSLA,stock_option,0.3,1,0.5,0.01,STRATEGY-1,,9JrdXBVX
2021-04-14T15:41:44-0400,"TSLA Apr 23, 2021 650.00 PUT",sell,USD,TSLA,stock_option,4.4,1,0.5,0.02,STRATEGY-1,,9JrdXBVX
2021-11-15T10:15:19-0500,ESH22,buy,USD,ES,future,4680.75,5,2.35,0,,,qABPqaTP
2021-11-15T10:42:18-0500,ESH22,sell,USD,ES,future,4680.25,5,2.35,0,,,qABPqaTP
2020-06-02T12:20:34-0400,AMD,buy,USD,AMD,stock,52.53,250,0.99,0,"inEFFICIENT-EXIT,STRATEGY-1",,at66opeV
2020-06-02T12:55:10-0400,AMD,sell,USD,AMD,stock,52.4,250,0.99,0,"inEFFICIENT-EXIT,STRATEGY-1",,at66opeV
2020-03-17T12:49:59-0400,VEU,buy,USD,VEU,stock,38.42,20,0,0.02,SWING-TRADE,"<div>Good exit!</div><div><br></div><div>Waited almost 2 months - I don't swing a lot of stocks, but wanted to test the waters with this.</div>",B16HObTC
2020-05-12T10:31:59-0400,VEU,sell,USD,VEU,stock,44.08,1,0,0.01,SWING-TRADE,"<div>Good exit!</div><div><br></div><div>Waited almost 2 months - I don't swing a lot of stocks, but wanted to test the waters with this.</div>",B16HObTC
2020-05-12T10:31:59-0400,VEU,sell,USD,VEU,stock,44.08,19,0,0.04,SWING-TRADE,"<div>Good exit!</div><div><br></div><div>Waited almost 2 months - I don't swing a lot of stocks, but wanted to test the waters with this.</div>",B16HObTC
2022-02-11T22:54:46-0500,XAUUSD,sell,USD,XAUUSD,forex,1860.41,10,0,0,,,BE0gWip6
2022-02-11T22:34:13-0500,XAUUSD,buy,USD,XAUUSD,forex,1862.76,10,0,0,,,BE0gWip6
2022-03-10T10:57:33-0500,MSFT,sell,USD,MSFT,stock,282.38,100,0,0,STRATEGY-1,,BXzssGwA
2022-03-10T10:47:22-0500,MSFT,buy,USD,MSFT,stock,283.63,100,0.99,0,STRATEGY-1,,BXzssGwA
2021-06-05T05:53:15-0400,JD,buy,USD,JD,stock,77,200,0,0,,,ciw14PIR
2021-07-01T10:59:49-0400,JD,sell,USD,JD,stock,78.1541,200,0,0.1,,,ciw14PIR
2022-03-16T10:31:55-0400,AAPL,buy,USD,AAPL,stock,158.01,50,0,0,"CHOP,NO-RANGE",<p>Very choppy - no range. </p><p><b>Should have waited!</b></p><p>no-trade-day.</p><p>Risky.</p>,d6WJCem0
2022-03-16T11:01:21-0400,AAPL,sell,USD,AAPL,stock,158.27,100,0,0,"CHOP,NO-RANGE",<p>Very choppy - no range. </p><p><b>Should have waited!</b></p><p>no-trade-day.</p><p>Risky.</p>,d6WJCem0
2022-03-16T10:44:56-0400,AAPL,buy,USD,AAPL,stock,157.79,50,0,0,"CHOP,NO-RANGE",<p>Very choppy - no range. </p><p><b>Should have waited!</b></p><p>no-trade-day.</p><p>Risky.</p>,d6WJCem0
2019-04-05T10:15:38-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:38-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:17:01-0400,AMD,buy,USD,AMD,stock,28.95,1000,5,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:38-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:38-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:38-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:39-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:39-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:40-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:38-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-05T10:15:38-0400,AMD,sell,USD,AMD,stock,29.01,100,1.0496,0,"MKOPEN-TRD,STRATEGY-1",,DiSSh5Ah
2019-04-09T10:09:35-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:12:53-0400,AMD,buy,USD,AMD,stock,27.97,2000,10,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:35-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:35-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:35-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:35-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:37-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:33-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:33-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:32-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:32-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:32-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:32-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:32-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:33-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:33-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:33-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:33-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:33-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:35-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2019-04-09T10:09:35-0400,AMD,sell,USD,AMD,stock,27.9,100,1.0482,0,MKOPEN-TRD,<p>Got the direction correct! But MACD shaked me out.&nbsp;</p><ul><li>Should have waited for more confirmation!</li><li>Probably should have scaled and let some shares run</li></ul>,eCNOkLO9
2021-11-15T10:45:16-0500,ESH22,sell,USD,ES,future,4682.5,3,1.41,0,,,qABPqaTP
2021-11-15T10:57:38-0500,ESH22,buy,USD,ES,future,4684,3,1.41,0,,,qABPqaTP
2021-12-15T10:07:22-0500,ESH22,sell,USD,ES,future,4623.5,3,1.41,0,,,PCkstXU0
2021-12-15T10:07:32-0500,ESH22,buy,USD,ES,future,4622.5,3,1.41,0,,,PCkstXU0
2022-01-10T12:16:05-0500,ESH22,buy,USD,ES,future,4591.75,1,0.47,0,,,IfJ5T6xU
2022-01-10T12:42:17-0500,ESH22,sell,USD,ES,future,4593.75,1,0.47,0,,,IfJ5T6xU
2022-01-21T09:35:11-0500,ESH22,buy,USD,ES,future,4468.25,3,1.41,0,,,PqqEAfD4
2022-01-21T09:35:31-0500,ESH22,sell,USD,ES,future,4467,3,1.41,0,,,PqqEAfD4
2021-11-06T07:15:06-0400,CHWY,sell,USD,CHWY,stock,70,200,0,0,,,eh87ToSt
2021-09-25T05:31:33-0400,CHWY,buy,USD,CHWY,stock,71,200,0,0,,,eh87ToSt
2021-05-28T16:01:46-0400,"GSPC Jul 09, 2021 3990.00 PUT",buy,USD,GSPC,index_option,28.97,1,0,0,DBL DIAG,,f2SLcOtk
2021-05-28T16:01:46-0400,"GSPC Jul 16, 2021 4260.00 CALL",sell,USD,GSPC,index_option,49.05,1,0,0,DBL DIAG,,f2SLcOtk
2021-05-18T15:46:32-0400,"GSPC Jul 09, 2021 4260.00 CALL",sell,USD,GSPC,index_option,37.42,1,0,0,DBL DIAG,,f2SLcOtk
2021-05-18T15:46:32-0400,"GSPC Jul 16, 2021 3990.00 PUT",buy,USD,GSPC,index_option,78.67,1,0,0,DBL DIAG,,f2SLcOtk
